SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
176,2,43,43411,16.9
176,2,44,43421,17.5
176,2,45,43431,17.8
176,2,46,43441,18.1
176,2,47,43231,18.4
176,2,48,43241,18.7
176,2,49,43251,19
176,2,50,43261,19.4
176,2,51,43271,19.7
176,2,52,43071,20.2
176,2,53,43081,20.5
176,2,54,43091,20.9
176,2,55,43111,21.2
176,2,56,44011,21.4
176,2,57,44021,21.7
176,2,58,44251,22.2
176,2,59,E4501,-
176,2,60,45008,22.9
176,2,61,45009,23
177,1,1,45009,0
177,1,2,E4501,-
177,1,3,44259,0.5
177,1,4,44029,0.8
177,1,5,44019,1
177,1,6,43119,1.3
177,1,7,43721,1.7
177,1,8,43719,2.2
177,1,9,43159,3
177,1,10,43268,3.4
177,1,11,43259,3.8
177,1,12,43249,4
177,1,13,43239,4.4
177,1,14,43161,5.2
177,1,15,43171,5.6
177,1,16,43009,6.1
177,2,1,43009,0
177,2,2,43179,0.6
177,2,3,43169,1.2
177,2,4,43231,2
177,2,5,43241,2.3
177,2,6,43251,2.6
177,2,7,43261,3
177,2,8,43151,3.3
177,2,9,43719,4.1
177,2,10,43111,4.8
177,2,11,44011,5
177,2,12,44021,5.3
177,2,13,44251,5.8
177,2,14,E4501,-
177,2,15,45008,6.5
177,2,16,45009,6.6
178,1,1,46009,0
178,1,2,46291,0.6
178,1,3,46199,1.1
178,1,4,46181,1.4
178,1,5,46209,1.6
178,1,6,46709,1.8
178,1,7,46119,2.2
178,1,8,46091,2.7
178,1,9,46059,3.1
178,1,10,46049,3.4
178,1,11,46039,3.9
178,1,12,46029,4.4
178,1,13,45139,4.9
178,1,14,45129,5.3
178,1,15,45119,5.7
178,1,16,45109,6.2
178,1,17,45099,6.7
178,1,18,45079,7.1
178,1,19,45069,7.5
178,1,20,45059,7.9
178,1,21,45049,8.6
178,1,22,45039,8.8
178,1,23,45029,9.1
178,1,24,45019,9.6
178,1,25,44069,9.9
178,1,26,44059,10.1
178,1,27,44049,10.6
178,1,28,44029,11
178,1,29,44019,11.2
178,1,30,43119,11.5
178,1,31,43109,11.9
178,1,32,43089,12.2
178,1,33,43069,12.7
178,1,34,43059,13.1
178,1,35,43049,13.5
178,1,36,43029,14
178,1,37,43631,14.6
178,1,38,43201,15.1
178,1,39,43191,15.7
178,1,40,43181,16.1
178,1,41,43171,16.5
178,1,42,43419,17.1
178,1,43,43401,17.5
178,1,44,43531,17.9
178,1,45,43341,18.3
178,1,46,43451,18.8
178,1,47,28299,19.3
178,1,48,28289,19.5
178,1,49,28279,19.9
178,1,50,28269,20.2
178,1,51,28259,20.5
178,1,52,28249,20.9
178,1,53,28239,21.4
178,1,54,28229,21.9
178,1,55,20061,22.6
178,1,56,20081,23.2
178,1,57,21011,24.4
178,1,58,21021,24.9
178,1,59,21171,25.7
178,1,60,21181,26.2
178,1,61,21191,26.5
178,1,62,21271,26.7
178,1,63,21201,27
178,1,64,21211,27.4
178,1,65,21681,27.7
178,1,66,21691,28
178,1,67,22491,29.1
178,1,68,22009,29.6
178,2,1,22009,0
178,2,2,22499,0.7
178,2,3,21699,1.8
178,2,4,21689,2.1
178,2,5,21229,2.4
178,2,6,21219,2.6
178,2,7,21209,3
178,2,8,21279,3.3
178,2,9,21199,3.5
178,2,10,21189,3.9
178,2,11,21179,4.4
178,2,12,21029,4.9
178,2,13,21019,5.5
178,2,14,20089,6.9
178,2,15,20069,7.5
178,2,16,20271,7.8
178,2,17,28221,8.1
178,2,18,28231,8.4
178,2,19,28241,8.8
178,2,20,28251,9.2
178,2,21,28261,9.5
178,2,22,28271,9.9
178,2,23,28281,10.2
178,2,24,28291,10.5
178,2,25,43459,10.9
178,2,26,43349,11.4
178,2,27,43539,11.8
178,2,28,43409,12.1
178,2,29,43411,12.6
178,2,30,43179,13.2
178,2,31,43189,13.6
178,2,32,43199,14
178,2,33,43209,14.5
178,2,34,43639,15.1
178,2,35,43021,15.5
178,2,36,43041,16.1
178,2,37,43051,16.5
178,2,38,43061,16.9
178,2,39,43071,17.2
178,2,40,43081,17.5
178,2,41,43091,17.9
178,2,42,43111,18.2
178,2,43,44011,18.4
178,2,44,44021,18.7
178,2,45,44041,19.1
178,2,46,44051,19.6
178,2,47,44061,19.9
178,2,48,45011,20.3
178,2,49,45021,20.8
178,2,50,45031,21.1
178,2,51,45041,21.6
178,2,52,45051,22
178,2,53,45061,22.4
178,2,54,45071,22.6
178,2,55,45081,22.8
178,2,56,45091,23.2
178,2,57,45101,23.7
178,2,58,45111,24.1
178,2,59,45121,24.5
178,2,60,45131,24.8
178,2,61,46021,25.4
178,2,62,46031,25.9
178,2,63,46041,26.3
178,2,64,46051,26.7
178,2,65,46069,27.2
178,2,66,46088,27.5
178,2,67,46111,27.9
178,2,68,46201,28.4
178,2,69,46189,28.6
178,2,70,46191,28.9
178,2,71,46299,29.3
178,2,72,46009,29.8
180,1,1,45009,0
180,1,2,E4501,-
180,1,3,44259,0.5
180,1,4,44149,1.2
180,1,5,44139,1.5
180,1,6,44159,2
180,1,7,44169,2.5
180,1,8,44179,2.9
180,1,9,43679,3.4
180,1,10,43779,3.8
180,1,11,43789,4.2
180,1,12,43759,4.7
180,1,13,43769,5.2
180,1,14,43451,5.6
180,1,15,28299,6.1
180,1,16,28289,6.3
180,1,17,28341,6.8
180,1,18,28351,7
180,1,19,28361,7.4
180,1,20,28371,7.8
180,1,21,28091,8.3
180,1,22,21681,8.9
180,1,23,21691,9.2
180,1,24,22491,10.3
180,1,25,22009,10.8
180,2,1,22009,0
180,2,2,22499,0.7
180,2,3,21699,1.8
180,2,4,21689,2.1
180,2,5,28099,2.7
180,2,6,28379,3.2
180,2,7,28369,3.6
180,2,8,28359,4
180,2,9,28349,4.3
180,2,10,28281,4.6
180,2,11,28291,4.9
180,2,12,43459,5.3
180,2,13,43761,5.6
180,2,14,43751,6.2
180,2,15,43781,6.6
180,2,16,43771,7.1
180,2,17,43671,7.5
180,2,18,44171,8
180,2,19,44161,8.5
180,2,20,44151,9
180,2,21,44131,9.5
180,2,22,44141,9.8
180,2,23,44251,10.3
180,2,24,E4501,-
180,2,25,45009,10.8
184,1,1,45009,0
184,1,2,E4501,-
184,1,3,44241,0.7
184,1,4,44231,1.2
184,1,5,44229,1.6
184,1,6,43139,2.2
184,1,7,43129,2.6
184,1,8,43109,3.2
184,1,9,43089,3.5
184,1,10,43069,4
184,1,11,43059,4.4
184,1,12,43049,4.8
184,1,13,43029,5.3
184,1,14,43019,5.7
184,1,15,42119,6.1
184,1,16,42109,6.6
184,1,17,42089,7
184,1,18,42149,7.5
184,1,19,12109,8.1
184,1,20,12099,8.5
184,1,21,12089,8.7
184,1,22,12079,9.2
184,1,23,12069,9.6
184,1,24,17229,10.6
184,1,25,17179,11.1
184,1,26,17169,11.4
184,1,27,17241,11.9
184,1,28,17111,12.4
184,1,29,12061,12.8
184,1,30,12071,13.1
184,1,31,12081,13.6
184,1,32,12091,13.9
184,1,33,12101,14.4
184,1,34,42141,14.8
184,1,35,42071,15.2
184,1,36,42091,15.7
184,1,37,42111,16.2
184,1,38,43011,16.4
184,1,39,43021,16.9
184,1,40,43041,17.5
184,1,41,43051,17.9
184,1,42,43061,18.3
184,1,43,43071,18.6
184,1,44,43081,18.9
184,1,45,43091,19.3
184,1,46,43121,19.9
184,1,47,43131,20.4
184,1,48,44221,20.9
184,1,49,44239,21.3
184,1,50,44249,21.7
184,1,51,E4501,21.7
184,1,52,45009,22.4
187,1,1,46009,0
187,1,2,46549,0.9
187,1,3,46539,1.3
187,1,4,46529,1.7
187,1,5,46491,2
187,1,6,BKE,-
187,1,7,44269,9.4
187,1,8,44239,10
187,1,9,44249,10.4
187,1,10,44259,10.8
187,1,11,44149,11.5
187,1,12,44139,11.8
187,1,13,44159,12.3
187,1,14,44169,12.8
187,1,15,43529,13.2
187,1,16,43641,13.6
187,1,17,43831,13.9
187,1,18,43491,14.1
187,1,19,43481,14.6
187,1,20,43471,14.9
187,1,21,43461,15.2
187,1,22,43411,15.7
187,1,23,43701,16.2
187,1,24,43389,16.7
187,1,25,43699,17.1
187,1,26,28629,17.5
187,1,27,28321,17.9
187,1,28,28331,18.3
187,1,29,28451,18.8
187,1,30,28461,19.2
187,1,31,28491,19.7
187,1,32,28501,20.1
187,1,33,28511,20.5
187,1,34,28521,20.8
187,1,35,28399,21.1
187,1,36,28389,21.5
187,1,37,28091,21.9
187,1,38,21681,22.5
187,1,39,21691,22.8
187,1,40,22491,23.9
187,1,41,22009,24.4
187,2,1,22009,0
187,2,2,22499,0.7
187,2,3,21699,1.8
187,2,4,21689,2.1
187,2,5,28099,2.7
187,2,6,28381,3.1
187,2,7,28391,3.5
187,2,8,28529,3.8
187,2,9,28519,4.3
187,2,10,28509,4.5
187,2,11,28499,5
187,2,12,28469,5.4
187,2,13,28459,5.8
187,2,14,28339,6.2
187,2,15,28329,6.6
187,2,16,28621,7
187,2,17,43691,7.5
187,2,18,43381,7.8
187,2,19,43709,8.4
187,2,20,43419,8.9
187,2,21,43469,9.5
187,2,22,43479,9.8
187,2,23,43489,10.1
187,2,24,43499,10.5
187,2,25,43839,10.9
187,2,26,43649,11.2
187,2,27,43521,11.5
